PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),SiteEnergyUseWN(kBtu),UsesSteam,UsesElectricity,UsesNaturalGas,BuildingAge
Other,DELRIDGE,1.0,2,44162,1679541.25,0,1,1,15
Other,SOUTHEAST,1.0,1,53775,12442613.0,0,1,1,12
Small- and Mid-Sized Office,EAST,1.0,2,64820,2332889.25,0,1,1,113
University,EAST,1.0,2,99765,3372443.75,0,1,1,32
Senior Care Community,DOWNTOWN,1.0,3,41395,2842128.0,0,1,1,36
Supermarket / Grocery Store,BALLARD,1.0,8,41198,7785876.5,0,1,1,15
Other,GREATER DUWAMISH,1.0,1,20993,961628.625,0,1,1,11
Other,SOUTHEAST,1.0,0,40265,2261075.5,0,1,1,16
Residence Hall,NORTHEAST,1.0,0,176225,5209463.5,0,1,1,14
Residence Hall,NORTHEAST,1.0,0,89392,7483350.0,0,1,0,55
Residence Hall,NORTHEAST,1.0,0,97040,4075094.5,0,1,1,14
Self-Storage Facility,SOUTHEAST,1.0,4,87576,940844.6875,0,1,1,11
Other,NORTHEAST,1.0,3,33648,1399581.625,0,1,0,11
Small- and Mid-Sized Office,EAST,1.0,5,37873,2346692.5,0,1,1,10
Hotel,DOWNTOWN,1.0,14,144614,5547964.5,0,1,1,10
Large Office,LAKE UNION,1.0,12,317442,12926544.0,0,1,1,11
Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,2,25532,670291.0,0,1,0,11
Other,GREATER DUWAMISH,1.0,2,108036,5298717.5,0,1,1,10
Large Office,LAKE UNION,1.0,12,317189,14409447.0,0,1,1,10
Large Office,LAKE UNION,1.0,13,339038,14037166.0,0,1,1,11
Hotel,LAKE UNION,1.0,4,85284,6042399.5,0,1,1,11
Warehouse,GREATER DUWAMISH,1.0,1,47863,4182621.75,0,1,1,70
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,24990,4731813.5,0,1,1,96
Other,NORTHEAST,1.0,1,72000,3198858.0,0,1,1,12
K-12 School,GREATER DUWAMISH,1.0,3,45000,1397742.375,0,1,0,10
University,NORTHEAST,1.0,1,68072,3180819.25,0,1,0,63
Mixed Use Property,NORTH,1.0,1,20616,636965.5,0,1,0,20
Other,CENTRAL,1.0,1,11685,969142.0,0,1,1,12
Other,BALLARD,1.0,1,11968,858773.0,0,1,1,15
Other,NORTH,1.0,1,11285,705983.6875,0,1,1,76
Other,BALLARD,1.0,1,16795,990545.5,0,1,1,114
Other,BALLARD,1.0,1,12769,5370263.5,0,1,1,53
Office,MAGNOLIA / QUEEN ANNE,1.0,1,13661,558525.125,0,1,0,73
Other,EAST,1.0,1,23445,6716330.0,0,1,1,113
Mixed Use Property,CENTRAL,1.0,1,20050,1993136.625,0,1,1,31
Office,SOUTHEAST,1.0,1,15398,414172.4063,0,1,1,65
Other,DELRIDGE NEIGHBORHOODS,1.0,1,18261,1025432.125,0,1,1,43
Office,GREATER DUWAMISH,1.0,1,12294,943003.1875,0,1,1,35
Other,DOWNTOWN,1.0,1,16000,1053705.75,0,1,1,21
Other,MAGNOLIA / QUEEN ANNE,1.0,1,13157,6053764.5,0,1,1,51
Mixed Use Property,GREATER DUWAMISH,1.0,1,14101,782841.3125,0,1,1,36
Mixed Use Property,GREATER DUWAMISH,1.0,1,18258,1293722.375,0,1,1,87
